file,line,character,severity,type,reason,rule_id
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Snippets/Formatting/UseCodeFence.swift,22,,Warning,Line Length,Line should be 120 characters or less; currently it has 136 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Snippets/Querying/ChildThrough.swift,13,4,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Snippets/Rewriters/RemoveElementKind.swift,18,43,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Snippets/Rewriters/ReplaceText.swift,29,44,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,54,70,Warning,Colon Spacing,Colons should be next to the identifier when specifying a type and next to the key in dictionary literals,colon
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,73,,Warning,Line Length,Line should be 120 characters or less; currently it has 144 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,78,,Warning,Line Length,Line should be 120 characters or less; currently it has 140 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,81,,Warning,Line Length,Line should be 120 characters or less; currently it has 156 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,84,,Warning,Line Length,Line should be 120 characters or less; currently it has 150 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,90,,Warning,Line Length,Line should be 120 characters or less; currently it has 178 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,96,,Warning,Line Length,Line should be 120 characters or less; currently it has 145 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,99,,Warning,Line Length,Line should be 120 characters or less; currently it has 164 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,102,,Warning,Line Length,Line should be 120 characters or less; currently it has 160 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,105,,Warning,Line Length,Line should be 120 characters or less; currently it has 158 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/FormatCommand.swift,108,,Error,Line Length,Line should be 200 characters or less; currently it has 248 characters,line_length
